Actor,Rating,Title,Credit,Box Office,Year
Nicolas Cage,15%,Rage,Paul Maguire,--,2014
Nicolas Cage,86%,Joe,Joe,$0.4M,2014
Nicolas Cage,59%,The Frozen Ground,Sgt. Jack Halcombe,--,2013
Nicolas Cage,70%,The Croods,Grug,$187.2M,2013
Nicolas Cage,16%,Stolen,Will Montgomery,$0.3M,2012
Nicolas Cage,18%,Ghost Rider: Spirit of Vengeance,Johnny Blaze/Ghost Rider,$51.8M,2012
Nicolas Cage,27%,Seeking Justice,Will Gerard,$0.4M,2012
Nicolas Cage,10%,Season of the Witch,Behmen,$24.8M,2011
Nicolas Cage,45%,Drive Angry,Milton,$10.7M,2011
Nicolas Cage,10%,Trespass,Kyle Miller,$16.8k,2011
Nicolas Cage,41%,The Sorcerer's Apprentice,Balthazar Blake,$63.1M,2010
Nicolas Cage,76%,Kick-Ass,Damon Macready/Big Daddy,$20.0M,2010
Nicolas Cage,87%,Bad Lieutenant: Port of Call New Orleans,Terence McDonagh,$1.6M,2009
Nicolas Cage,49%,Astro Boy (AstroBoy),Dr. Tenma,$19.5M,2009
Nicolas Cage,22%,G-Force,Speckles,$119.4M,2009
Nicolas Cage,33%,Knowing,John Koestler,$79.9M,2009
Nicolas Cage,9%,Bangkok Dangerous,JoeProducer,$15.2M,2008
Nicolas Cage,35%,National Treasure: Book of Secrets,Ben Gates,$219.9M,2007
Nicolas Cage,28%,Next,ProducerCris Johnson,$18.0M,2007
Nicolas Cage,26%,Ghost Rider,Johnny Blaze/Ghost Rider,$115.8M,2007
Nicolas Cage,63%,The Ant Bully,Zoc,$28.1M,2006
Nicolas Cage,15%,The Wicker Man,Edward MalusProducer,$23.6M,2006
Nicolas Cage,68%,World Trade Center,John McLoughlin,$70.2M,2006
Nicolas Cage,61%,Lord of War,Yuri OrlovProducer,$24.0M,2005
Nicolas Cage,58%,The Weather Man,Dave Spritz,$12.5M,2005
Nicolas Cage,44%,National Treasure,Benjamin Franklin Gates,$173.0M,2004
Nicolas Cage,19%,The Life of David Gale,Producer,$19.6M,2003
Nicolas Cage,82%,Matchstick Men,Roy Waller,$36.9M,2003
Nicolas Cage,23%,Sonny,DirectorActor,--,2002
Nicolas Cage,91%,Adaptation,Charlie Kaufman,$22.2M,2002
Nicolas Cage,32%,Windtalkers,Joe Enders,$40.5M,2002
Nicolas Cage,20%,Christmas Carol - The Movie,Actor,--,2001
Nicolas Cage,29%,Captain Corelli's Mandolin,Capt. Antonio Corelli,$25.3M,2001
Nicolas Cage,81%,Shadow of the Vampire,Producer,$7.5M,2000
Nicolas Cage,53%,The Family Man,Jack Campbell,$73.7M,2000
Nicolas Cage,24%,Gone in 60 Seconds (Gone in Sixty Seconds),"Randall ""Memphis"" Raines",$101.0M,2000
Nicolas Cage,23%,8MM,Tom Welles,--,1999
Nicolas Cage,71%,Bringing Out the Dead,Frank Pierce,--,1999
Nicolas Cage,58%,City of Angels,Seth,--,1998
Nicolas Cage,40%,Snake Eyes,Rick Santoro,--,1998
Nicolas Cage,91%,Face/Off,Castor Troy,--,1997
Nicolas Cage,55%,Con Air,Cameron Poe,--,1997
Nicolas Cage,66%,The Rock,Stanley Goodspeed,--,1996
Nicolas Cage,89%,Leaving Las Vegas,Ben Sanderson,--,1995
Nicolas Cage,68%,Kiss of Death,Little Junior Brown,--,1995
Nicolas Cage,71%,It Could Happen to You,Charlie Lang,--,1994
Nicolas Cage,59%,Guarding Tess,Doug Chesnic,--,1994
Nicolas Cage,10%,Trapped in Paradise,Bill Firpo,--,1994
Nicolas Cage,0%,Deadfall,Eddie,--,1993
Nicolas Cage,21%,Amos & Andrew,Amos Odell,--,1993
Nicolas Cage,95%,Red Rock West,Michael,--,1993
Nicolas Cage,62%,Honeymoon in Vegas,Detective Jack Singer,--,1992
Nicolas Cage,33%,Zandalee,Johnny Collins,--,1991
Nicolas Cage,64%,Wild At Heart,Sailor Ripley,--,1990
Nicolas Cage,10%,Fire Birds,Jake Preston,--,1990
Nicolas Cage,62%,Vampire's Kiss,Peter Loew,--,1989
Nicolas Cage,90%,Raising Arizona,H.I. McDonnough,--,1987
Nicolas Cage,92%,Moonstruck,Ronny Cammareri,--,1987
Nicolas Cage,85%,Peggy Sue Got Married,Charlie Bodell,--,1986
Nicolas Cage,60%,Racing With the Moon,Nicky,--,1984
Nicolas Cage,75%,The Cotton Club,Vincent Dwyer,--,1984
Nicolas Cage,88%,Birdy,Al Columbato,--,1984
Nicolas Cage,71%,Rumble Fish,Smokey,--,1983
Nicolas Cage,83%,Valley Girl,Randy,--,1983
Nicolas Cage,79%,Fast Times At Ridgemont High,Bit Part,--,1982
Matthew McConaughey,93%,Dallas Buyers Club,Ron Woodroof,$27.3M,2013
Matthew McConaughey,98%,Mud,Mud,$21.6M,2013
Matthew McConaughey,73%,Lee Daniels' The Butler,John F. Kennedy,$116.6M,2013
Matthew McConaughey,77%,The Wolf of Wall Street,Mark Hanna,$116.9M,2013
Matthew McConaughey,78%,Killer Joe,"""Killer"" Joe Cooper",$0.9M,2012
Matthew McConaughey,90%,Bernie,Danny Buck,$9.2M,2012
Matthew McConaughey,43%,The Paperboy,Ward Jansen,$0.7M,2012
Matthew McConaughey,80%,Magic Mike,Dallas,$113.7M,2012
Matthew McConaughey,83%,The Lincoln Lawyer,Mickey Haller,$58.0M,2011
Matthew McConaughey,26%,The Ghosts of Girlfriends Past,Connor Mead,$55.2M,2009
Matthew McConaughey,11%,Fool's Gold,"Ben ""Finn"" Finnegan",$70.2M,2008
Matthew McConaughey,0%,"Surfer, Dude",Steve Addington,--,2008
Matthew McConaughey,83%,Tropic Thunder,Rick Peck,$110.4M,2008
Matthew McConaughey,24%,Failure to Launch,Tripp,$88.7M,2006
Matthew McConaughey,49%,We Are Marshall,Jack Lengyel,$43.5M,2006
Matthew McConaughey,39%,Sahara,ProducerDirk Pitt,$68.6M,2005
Matthew McConaughey,22%,Two For the Money,Brandon Lang/John Anthony,$22.9M,2005
Matthew McConaughey,88%,Magnificent Desolation: Walking on the Moon 3D,Actor,$32.5M,2005
Matthew McConaughey,29%,Tiptoes,Steven,--,2004
Matthew McConaughey,42%,How to Lose a Guy in 10 Days,Benjamin Barry,$105.8M,2003
Matthew McConaughey,73%,Frailty,Fenton Meiks,$13.1M,2002
Matthew McConaughey,40%,Reign of Fire,Denton Van Zan,$42.9M,2002
Matthew McConaughey,17%,The Wedding Planner,Steve Edison,$59.9M,2001
Matthew McConaughey,82%,13 Conversations About One Thing,Troy,$3.0M,2001
Matthew McConaughey,68%,U-571,Lt. Andrew Tyler,--,2000
Matthew McConaughey,64%,EdTV,Ed Pekurny,--,1999
Matthew McConaughey,62%,The Newton Boys,Willis Newton,--,1998
Matthew McConaughey,63%,Contact,Palmer Joss,--,1997
Matthew McConaughey,76%,Amistad,Baldwin,--,1997
Matthew McConaughey,11%,Larger Than Life,Tip Tucker,--,1996
Matthew McConaughey,67%,A Time to Kill,Jake Brigance,--,1996
Matthew McConaughey,93%,Lone Star,Buddy Deeds,--,1996
Matthew McConaughey,73%,Boys on the Side,Abe,--,1995
Matthew McConaughey,17%,The Texas Chainsaw Massacre - The Next Generation (The Return of the Texas Chainsaw Massacre),Vilmer,--,1994
Matthew McConaughey,35%,Angels in the Outfield,Ben Williams,--,1994
Matthew McConaughey,94%,Dazed and Confused,Wooderson,--,1993
Matthew McConaughey,10%,My Boyfriend's Back,Guy #2,--,1993
Matt Damon,32%,The Monuments Men,James Granger,$78.0M,2014
Matt Damon,53%,The Zero Theorem,Actor,--,2014
Matt Damon,52%,Promised Land,ProducerScreenwriterSteve Butler,$7.5M,2013
Matt Damon,95%,Behind the Candelabra,Actor,--,2013
Matt Damon,68%,Elysium,Max Da Costa,$93.1M,2013
Matt Damon,45%,All In: The Poker Movie,Matt Damon,--,2012
Matt Damon,67%,Radioman,Actor,--,2012
Matt Damon,46%,Happy Feet Two,Bill the Krill,$64.0M,2011
Matt Damon,66%,We Bought a Zoo,Benjamin Mee,$75.6M,2011
Matt Damon,84%,Contagion,Mitch Emhoff,$75.6M,2011
Matt Damon,71%,Margaret,Mr. Aaron,$46.5k,2011
Matt Damon,72%,The Adjustment Bureau,David Norris,$62.5M,2011
Matt Damon,67%,American Teacher,Narrator,$32.3k,2011
Matt Damon,53%,Green Zone,Roy Miller,$33.1M,2010
Matt Damon,98%,Inside Job,Narrator,$4.3M,2010
Matt Damon,100%,Teenage Paparazzo,Actor,--,2010
Matt Damon,96%,True Grit,LaBoeuf,$171.0M,2010
Matt Damon,46%,Hereafter,George,$32.7M,2010
Matt Damon,92%,Ponyo,Koichi (English Version),$14.8M,2009
Matt Damon,79%,The Informant!,Mark Whitacre,$33.3M,2009
Matt Damon,66%,Che: Part One (The Argentine),Guest,$1.5M,2009
Matt Damon,76%,Invictus,Francois Pienaar,$37.4M,2009
Matt Damon,80%,Che: Part Two (Guerrilla),Guest,$2.0M,2008
Matt Damon,94%,The Bourne Ultimatum,Jason Bourne,$227.2M,2007
Matt Damon,70%,Ocean's Thirteen,Lenny Pepperidge,$117.1M,2007
Matt Damon,54%,The Good Shepherd,Edward Wilson,$59.8M,2006
Matt Damon,75%,Happy Feet,Actor,$197.9M,2006
Matt Damon,92%,The Departed,Colin Sullivan,$132.3M,2006
Matt Damon,38%,The Brothers Grimm,Will Grimm,$37.8M,2005
Matt Damon,56%,Feast,Producer,--,2005
Matt Damon,72%,Syriana,Bryan Woodman,$50.8M,2005
Matt Damon,88%,Magnificent Desolation: Walking on the Moon 3D,Actor,$32.5M,2005
Matt Damon,55%,Ocean's Twelve,Linus Caldwell,$125.4M,2004
Matt Damon,41%,Jersey Girl,Actor,$25.2M,2004
Matt Damon,81%,The Bourne Supremacy,David Webb/Jason Bourne,$176.0M,2004
Matt Damon,97%,Howard Zinn - You Can't Be Neutral on a Moving Train,Narrator,--,2004
Matt Damon,60%,Stuck On You,Bob TenorDirector,$33.6M,2003
Matt Damon,79%,Confessions of a Dangerous Mind,Actor,$15.9M,2003
Matt Damon,61%,Gerry,Gerry,--,2003
Matt Damon,33%,The Third Wheel,Kevin,--,2002
Matt Damon,83%,The Bourne Identity,Jason Bourne,$121.5M,2002
Matt Damon,69%,Spirit - Stallion of the Cimarron,Spirit,$73.2M,2002
Matt Damon,53%,Jay and Silent Bob Strike Back,Himself,$29.9M,2001
Matt Damon,42%,The Majestic,Luke Trimble,$27.7M,2001
Matt Damon,82%,Ocean's Eleven,Linus Caldwell,$183.3M,2001
Matt Damon,32%,All the Pretty Horses,John Grady Cole,$14.7M,2000
Matt Damon,43%,The Legend of Bagger Vance,Rannulph Junuh,$30.4M,2000
Matt Damon,52%,Titan A.E.,Cale,--,2000
Matt Damon,73%,Finding Forrester,Actor,$51.4M,2000
Matt Damon,83%,The Talented Mr. Ripley,Tom Ripley,--,1999
Matt Damon,67%,Dogma,Loki,--,1999
Matt Damon,92%,Saving Private Ryan,Pvt. James Ryan,--,1998
Matt Damon,65%,Rounders,Mike McDermott,--,1998
Matt Damon,88%,Chasing Amy,Actor,--,1997
Matt Damon,97%,Good Will Hunting,ScreenwriterWill Hunting,--,1997
Matt Damon,82%,The Rainmaker,Rudy Baylor,--,1997
Matt Damon,85%,Courage Under Fire,Ilario,--,1996
Matt Damon,53%,Geronimo - An American Legend,Lieutenant Britton Davis,--,1993
Matt Damon,68%,School Ties,Charlie Dillon,--,1992
Matt Damon,78%,Mystic Pizza,Steamer,--,1988
George Clooney,32%,The Monuments Men,Frank StokesDirectorScreenwriter,$78.0M,2014
George Clooney,50%,One Pm Central Standard Time,Himself/Narrator,--,2013
George Clooney,97%,Gravity,Matt Kowalski,$274.1M,2013
George Clooney,67%,Radioman,Actor,--,2012
George Clooney,85%,The Ides of March,Governor Mike MorrisDirectorProducerScreenwriter,$41.0M,2011
George Clooney,89%,The Descendants,Matt King,$82.6M,2011
George Clooney,66%,The American,Jack,$35.6M,2010
George Clooney,51%,The Men Who Stare at Goats,Lyn CassadyProducer,$32.4M,2009
George Clooney,91%,Up in the Air,Ryan Bingham,$83.8M,2009
George Clooney,92%,Fantastic Mr. Fox,Mr. Fox,$20.9M,2009
George Clooney,52%,Leatherheads,DirectorDodge Connolly,$31.2M,2008
George Clooney,78%,Burn After Reading,Harry Pfarrer,$60.3M,2008
George Clooney,48%,Wind Chill,Producer,--,2007
George Clooney,72%,Darfur Now,Actor,$63.9k,2007
George Clooney,90%,Michael Clayton,Michael ClaytonProducer,$49.0M,2007
George Clooney,33%,The Good German,Jake Geismer,$0.9M,2007
George Clooney,70%,Ocean's Thirteen,Danny Ocean,$117.1M,2007
George Clooney,69%,A Scanner Darkly,Producer,$5.3M,2006
George Clooney,93%,"Good Night, And Good Luck",Fred FriendlyScreenwriterDirectorProducer,$31.5M,2005
George Clooney,72%,Syriana,Bob BarnesProducer,$50.8M,2005
George Clooney,44%,The Jacket,Producer,$6.3M,2005
George Clooney,20%,Rumor Has It,Producer,$42.7M,2005
George Clooney,55%,Ocean's Twelve,Danny Ocean,$125.4M,2004
George Clooney,69%,Criminal,Producer,$0.7M,2004
George Clooney,45%,Spy Kids 3-D - Game Over,Devlin,$111.7M,2003
George Clooney,79%,Confessions of a Dangerous Mind,DirectorJim Byrd,$15.9M,2003
George Clooney,75%,Intolerable Cruelty,Miles Massey,$35.1M,2003
George Clooney,66%,Solaris,Dr. Chris Kelvin,$14.8M,2002
George Clooney,54%,Welcome to Collinwood,Jerzy,$75.2k,2002
George Clooney,52%,Rock Star,Producer,$16.6M,2001
George Clooney,82%,Ocean's Eleven,Danny Ocean,$183.3M,2001
George Clooney,93%,Spy Kids,Devlin,$110.8M,2001
George Clooney,100%,Fail Safe,Colonel Grady,--,2000
George Clooney,47%,The Perfect Storm,Capt. Billy TyneDirector,$182.1M,2000
George Clooney,77%,"O Brother, Where Art Thou?",Everett Ulysses McGill,$45.2M,2000
George Clooney,94%,Three Kings,Major Archie Gates,--,1999
George Clooney,81%,"South Park: Bigger, Longer and Uncut",Actor,--,1999
George Clooney,93%,Out of Sight,Jack Foley,--,1998
George Clooney,79%,The Thin Red Line,Capt. Charles Bosche,--,1998
George Clooney,41%,The Peacemaker,Thomas Devoe,--,1997
George Clooney,88%,Full Tilt Boogie,Actor,--,1997
George Clooney,11%,Batman & Robin,Batman/Bruce Wayne,--,1997
George Clooney,47%,One Fine Day,Jack Taylor,--,1996
George Clooney,63%,From Dusk Till Dawn,Seth Gecko,--,1996
George Clooney,0%,Return of the Killer Tomatoes!,Matt,--,1988