Rating,Title,Credit,BoxOffice,Year
15%,Rage,Paul Maguire,--,2014
86%,Joe,Joe,$0.4M,2014
59%,The Frozen Ground,Sgt. Jack Halcombe,--,2013
70%,The Croods,Grug,$187.2M,2013
16%,Stolen,Will Montgomery,$0.3M,2012
18%,Ghost Rider: Spirit of Vengeance,Johnny Blaze/Ghost Rider,$51.8M,2012
27%,Seeking Justice,Will Gerard,$0.4M,2012
10%,Season of the Witch,Behmen,$24.8M,2011
45%,Drive Angry,Milton,$10.7M,2011
10%,Trespass,Kyle Miller,$16.8k,2011
41%,The Sorcerer's Apprentice,Balthazar Blake,$63.1M,2010
76%,Kick-Ass,Damon Macready/Big Daddy,$20.0M,2010
87%,Bad Lieutenant: Port of Call New Orleans,Terence McDonagh,$1.6M,2009
49%,Astro Boy (AstroBoy),Dr. Tenma,$19.5M,2009
22%,G-Force,Speckles,$119.4M,2009
33%,Knowing,John Koestler,$79.9M,2009
9%,Bangkok Dangerous,JoeProducer,$15.2M,2008
35%,National Treasure: Book of Secrets,Ben Gates,$219.9M,2007
28%,Next,ProducerCris Johnson,$18.0M,2007
26%,Ghost Rider,Johnny Blaze/Ghost Rider,$115.8M,2007
63%,The Ant Bully,Zoc,$28.1M,2006
15%,The Wicker Man,Edward MalusProducer,$23.6M,2006
68%,World Trade Center,John McLoughlin,$70.2M,2006
61%,Lord of War,Yuri OrlovProducer,$24.0M,2005
58%,The Weather Man,Dave Spritz,$12.5M,2005
44%,National Treasure,Benjamin Franklin Gates,$173.0M,2004
19%,The Life of David Gale,Producer,$19.6M,2003
82%,Matchstick Men,Roy Waller,$36.9M,2003
23%,Sonny,DirectorActor,--,2002
91%,Adaptation,Charlie Kaufman,$22.2M,2002
32%,Windtalkers,Joe Enders,$40.5M,2002
20%,Christmas Carol - The Movie,Actor,--,2001
29%,Captain Corelli's Mandolin,Capt. Antonio Corelli,$25.3M,2001
81%,Shadow of the Vampire,Producer,$7.5M,2000
53%,The Family Man,Jack Campbell,$73.7M,2000
24%,Gone in 60 Seconds (Gone in Sixty Seconds),"Randall ""Memphis"" Raines",$101.0M,2000
23%,8MM,Tom Welles,--,1999
71%,Bringing Out the Dead,Frank Pierce,--,1999
58%,City of Angels,Seth,--,1998
40%,Snake Eyes,Rick Santoro,--,1998
91%,Face/Off,Castor Troy,--,1997
55%,Con Air,Cameron Poe,--,1997
66%,The Rock,Stanley Goodspeed,--,1996
89%,Leaving Las Vegas,Ben Sanderson,--,1995
68%,Kiss of Death,Little Junior Brown,--,1995
71%,It Could Happen to You,Charlie Lang,--,1994
59%,Guarding Tess,Doug Chesnic,--,1994
10%,Trapped in Paradise,Bill Firpo,--,1994
0%,Deadfall,Eddie,--,1993
21%,Amos & Andrew,Amos Odell,--,1993
95%,Red Rock West,Michael,--,1993
62%,Honeymoon in Vegas,Detective Jack Singer,--,1992
33%,Zandalee,Johnny Collins,--,1991
64%,Wild At Heart,Sailor Ripley,--,1990
10%,Fire Birds,Jake Preston,--,1990
62%,Vampire's Kiss,Peter Loew,--,1989
90%,Raising Arizona,H.I. McDonnough,--,1987
92%,Moonstruck,Ronny Cammareri,--,1987
85%,Peggy Sue Got Married,Charlie Bodell,--,1986
60%,Racing With the Moon,Nicky,--,1984
75%,The Cotton Club,Vincent Dwyer,--,1984
88%,Birdy,Al Columbato,--,1984
71%,Rumble Fish,Smokey,--,1983
83%,Valley Girl,Randy,--,1983
79%,Fast Times At Ridgemont High,Bit Part,--,1982